time,pl,qfls,tau_diff
0.0,0.99999917,1.493807,-9.219008e-09
0.021840572,1.0044364,1.4939214,-1.0610894e-08
0.0441581,1.0083432,1.4940218,-1.1922714e-08
0.6436596,1.0090859,1.4940408,4.593673e-08
0.6795579,1.007413,1.4939979,4.427915e-08
0.7162404,1.0057849,1.4939561,4.679272e-08
0.753724,1.0042268,1.493916,5.0347747e-08
0.7920263,1.0027642,1.4938784,5.5316104e-08
0.8311651,1.0014222,1.4938438,6.230356e-08
0.8711587,1.0002239,1.4938128,7.1804344e-08
0.9120258,0.9991729,1.4937856,8.392254e-08
0.9537854,0.99825966,1.493762,9.9075606e-08
0.9964572,0.99747455,1.4937416,1.1833483e-07
1.0400608,0.996808,1.4937243,1.4330018e-07
1.0846169,0.9962506,1.4937099,1.7644557e-07
1.130146,0.99579304,1.493698,2.2170501e-07
1.1766696,0.9954258,1.4936885,2.8581326e-07
1.2242091,0.9951397,1.4936811,3.810537e-07
1.2727871,0.99492544,1.4936755,5.319494e-07
1.3224258,0.99477375,1.4936715,7.94742e-07
1.3731489,0.9946754,1.493669,1.3284658e-06
1.4249797,0.99462116,1.4936676,2.8047816e-06
1.4779427,0.99460185,1.4936671,1.5856405e-05
1.5320623,0.9946083,1.4936672,-7.496589e-06
1.5873637,0.99463123,1.4936678,-4.1949124e-06
1.6438732,0.99466145,1.4936687,-3.8755784e-06
1.7016168,0.9946898,1.4936694,-5.05909e-06
1.7606215,0.9947071,1.4936699,-1.609373e-05
1.820915,0.9947041,1.4936697,6.950043e-06
1.8825252,0.9946716,1.4936689,2.4067388e-06
1.9454811,0.99460036,1.493667,1.3373275e-06
2.009812,0.99448127,1.4936639,8.7972876e-07
2.075548,0.99430513,1.4936594,6.334783e-07
2.1427195,0.9940627,1.493653,4.832879e-07
2.2113578,0.99374497,1.4936448,3.8393404e-07
2.2814958,0.9933427,1.4936343,3.1430588e-07
2.3531656,0.99284685,1.4936215,2.6342022e-07
2.4264007,0.9922485,1.4936059,2.2572263e-07
2.5012348,0.9915431,1.4935875,1.9829434e-07
2.5777037,0.9907335,1.4935664,1.7826208e-07
2.6558428,0.98982286,1.4935426,1.6310995e-07
2.7356884,0.9888145,1.4935162,1.5133075e-07
2.8172774,0.9877117,1.4934874,1.4197317e-07
2.900649,0.98651785,1.4934561,1.3441402e-07
2.9858415,0.98523617,1.4934225,1.2824302e-07
3.072894,0.98387015,1.4933866,1.2315726e-07
3.161848,0.982423,1.4933486,1.1894165e-07
3.2527452,0.9808982,1.4933084,1.15438944e-07
3.3456273,0.979299,1.4932662,1.1252609e-07
3.440538,0.9776288,1.4932221,1.1011227e-07
3.5375218,0.97589093,1.4931761,1.0812517e-07
3.6366243,0.9740887,1.4931283,1.0651061e-07
3.7378898,0.9722256,1.4930788,1.0521899e-07
3.8413682,0.9703047,1.4930277,1.0421617e-07
3.9471064,0.96832955,1.492975,1.03474164e-07
4.0551543,0.9663033,1.4929209,1.0296481e-07
4.1655617,0.96422917,1.4928653,1.0267328e-07
4.2783794,0.9621106,1.4928085,1.0258397e-07
4.3936615,0.9599507,1.4927504,1.0268222e-07
4.511462,0.9577527,1.4926912,1.0295845e-07
4.631836,0.9555198,1.4926307,1.03405256e-07
4.7548385,0.9532552,1.4925694,1.0401931e-07
4.8805275,0.95096207,1.4925071,1.0479184e-07
5.0089607,0.94864345,1.492444,1.057204e-07
5.1401997,0.9463025,1.4923801,1.0680812e-07
5.2743053,0.94394225,1.4923156,1.0799127e-07
5.4113398,0.94156307,1.4922503,1.08963036e-07
5.551366,0.93915445,1.4921842,1.09415126e-07
5.694452,0.93670315,1.4921166,1.09309305e-07
5.840662,0.9341963,1.4920473,1.08684404e-07
5.990065,0.931621,1.4919759,1.0759148e-07
6.142732,0.9289647,1.4919021,1.0608927e-07
6.2987337,0.9262147,1.4918255,1.0424137e-07
6.4581413,0.92335886,1.4917456,1.0211334e-07
6.6210313,0.92038494,1.4916623,9.976639e-08
6.787479,0.91728115,1.4915749,9.725833e-08
6.957562,0.91403574,1.4914833,9.464026e-08
7.131359,0.9106373,1.491387,9.195673e-08
7.3089523,0.90707463,1.4912857,8.924817e-08
7.490424,0.90333694,1.4911789,8.654532e-08
7.6758595,0.8994135,1.4910663,8.387387e-08
7.865344,0.8952943,1.4909477,8.125568e-08
8.058969,0.8909693,1.4908226,7.870496e-08
8.256821,0.8864291,1.4906905,7.6232716e-08
8.458995,0.8816644,1.4905511,7.3848526e-08
8.665585,0.8766668,1.4904041,7.155762e-08
8.876686,0.871428,1.4902492,6.936175e-08
9.092398,0.86594033,1.490086,6.726296e-08
9.312822,0.86019653,1.4899138,6.5261204e-08
9.538059,0.8541901,1.4897327,6.335446e-08
9.768215,0.84791493,1.4895421,6.1540646e-08
10.0034,0.8413654,1.4893416,5.981743e-08
10.243719,0.8345369,1.489131,5.8181588e-08
10.489287,0.8274252,1.4889097,5.6631198e-08
10.740221,0.82002705,1.4886775,5.5185932e-08
10.996633,0.81234646,1.4884342,5.3871414e-08
11.258644,0.8043913,1.4881798,5.2685884e-08
11.5263815,0.7961699,1.4879142,5.161399e-08
11.799963,0.7876909,1.4876374,5.0643823e-08
12.079524,0.7789632,1.4873494,4.9764278e-08
12.365186,0.7699962,1.48705,4.8965802e-08
12.657087,0.76079917,1.4867394,4.824124e-08
12.955364,0.7513819,1.4864174,4.7582976e-08
13.2601595,0.74175394,1.4860841,4.698478e-08
13.571608,0.7319257,1.4857392,4.6442644e-08
13.889862,0.7219074,1.4853829,4.5950713e-08
14.215063,0.7117093,1.4850152,4.5505047e-08
14.547366,0.70134217,1.4846358,4.5102222e-08
14.886931,0.69081616,1.4842448,4.473959e-08
15.23391,0.68014276,1.4838423,4.441381e-08
15.588465,0.66933227,1.4834281,4.4121936e-08
15.950769,0.6583956,1.4830022,4.386239e-08
16.32098,0.64734405,1.4825646,4.3632514e-08
16.699278,0.63618827,1.4821151,4.3430827e-08
17.085844,0.6249391,1.4816539,4.3256126e-08
17.480846,0.613608,1.4811809,4.3106006e-08
17.884476,0.60220546,1.480696,4.2979252e-08
18.296926,0.5907422,1.4801992,4.2875588e-08
18.71838,0.5792296,1.4796904,4.279286e-08
19.149042,0.5676777,1.4791696,4.272996e-08
19.589106,0.55609745,1.4786367,4.2687407e-08
20.038782,0.5444995,1.478092,4.266258e-08
20.498283,0.53289354,1.4775349,4.2657398e-08
20.967815,0.5212914,1.4769658,4.2676973e-08
21.447601,0.50970566,1.4763848,4.272254e-08
21.937874,0.4981483,1.4757918,4.2793445e-08
22.438847,0.48663166,1.4751872,4.2889003e-08
22.95076,0.47516695,1.4745709,4.300794e-08
23.473862,0.4637649,1.4739429,4.315017e-08
24.008383,0.45243654,1.4733036,4.3313985e-08
24.554575,0.44119132,1.4726529,4.3498776e-08
25.112705,0.43003866,1.4719911,4.3705498e-08
25.68302,0.4189882,1.471318,4.3931976e-08
26.265787,0.40804774,1.470634,4.4177604e-08
26.861292,0.3972253,1.4699391,4.4443876e-08
27.469793,0.38652897,1.4692334,4.4728864e-08
28.091595,0.37596497,1.4685171,4.503245e-08
28.726967,0.3655404,1.4677901,4.5355126e-08
29.376217,0.3552612,1.4670527,4.5696087e-08
30.039656,0.34513256,1.466305,4.6054968e-08
