Time (s),PL (norm.),QFLS (eV),tau_diff(s)
1.0000000000023026,2.560000000350532e+34,1.4891686557616233,0.0
1.0000000000023026,2.5600000003490693e+34,1.4891686557616084,
1.0000000000023026,2.5600000003476064e+34,1.4891686557615937,
1.000000000002303,2.559999985715848e+34,1.4891686556138415,1.5539736381903186e-07
1.0000000000023035,2.5599999710840887e+34,1.4891686554660892,1.553973599123109e-07
1.000000000002304,2.5599999564523296e+34,1.489168655318337,1.5539735883204346e-07
1.0000000000023084,2.559999810134751e+34,1.4891686538408153,1.55397372026784e-07
1.0000000000023128,2.5599996638171896e+34,1.4891686523632934,1.5539738050162416e-07
1.0000000000023173,2.559999517499644e+34,1.489168650885772,1.5502761525075856e-07
1.0000000000023606,2.559998054325084e+34,1.4891686361105596,1.515125361756214e-07
1.0000000000024039,2.5599965911521526e+34,1.4891686213353552,1.5151261824658893e-07
1.0000000000024472,2.5599951279808504e+34,1.489168606560159,1.515127003290906e-07
1.0000000000028801,2.559980496357411e+34,1.4891684588086362,1.5151352097815759e-07
1.0000000000033131,2.5599658648968476e+34,1.4891683110579137,1.5151434162646248e-07
1.0000000000037461,2.559951233599157e+34,1.4891681633079914,1.515151622747174e-07
1.000000000004179,2.559936602464337e+34,1.4891680155588694,1.5151598290834448e-07
1.000000000008509,2.5597903000733773e+34,1.4891665381116612,1.5152418914138107e-07
1.0000000000128388,2.559644013966343e+34,1.489165060744467,1.5153239540942742e-07
1.0000000000171687,2.5594977441404254e+34,1.4891635834572772,1.5154060155810625e-07
1.0000000000214986,2.559351490592815e+34,1.4891621062500822,1.5154908851958664e-07
1.0000000000647982,2.557889849806045e+34,1.4891473385756682,1.5163395501891752e-07
1.0000000001080978,2.5564298337645573e+34,1.489132578889904,1.5171599839542717e-07
1.0000000001513973,2.5549714396697686e+34,1.4891178271829841,1.5179802976282505e-07
1.000000000194697,2.553514664729501e+34,1.4891030834451204,1.5188004911300457e-07
1.0000000002379965,2.5520595061580275e+34,1.4890883476665417,1.5196187107061526e-07
1.0000000006709913,2.537596212427912e+34,1.488941425503897,1.5277942768677104e-07
1.000000001103986,2.52329153836681e+34,1.4887952886472262,1.5359763804421634e-07
1.0000000015369808,2.5091428015869627e+34,1.4886499276018488,1.5441463289479863e-07
1.0000000019699755,2.4951473801479056e+34,1.4885053330360896,1.5523040618431285e-07
1.0000000024029703,2.4813027108531973e+34,1.4883614957775044,1.5604495187204358e-07
1.000000002835965,2.467606287613544e+34,1.4882184068093047,1.5684749700392981e-07
1.0000000062626762,2.364167012923983e+34,1.4871113940655696,1.6315630560514567e-07
1.0000000096893873,2.2687705022100623e+34,1.4860466510987116,1.6947283951908818e-07
1.0000000131160984,2.1804830743071517e+34,1.4850205832936327,1.7570627025138707e-07
1.0000000165428096,2.0985110403586173e+34,1.4840300148232373,1.818543954534949e-07
1.0000000199695207,2.0221753002410345e+34,1.483072125366434,1.8791522701671792e-07
1.0000000233962318,1.9508914586630735e+34,1.4821444005276714,1.9388710470460372e-07
1.000000026822943,1.8841538526300798e+34,1.481244589497264,1.9970582525563076e-07
1.0000000333720864,1.767702643742172e+34,1.479595345500944,2.1057696339706373e-07
1.0000000399212299,1.6637515770471688e+34,1.4780286269420269,2.2123501516243306e-07
