Time (s),PL (norm.),QFLS (eV),tau_diff(s)
1.0000000000023026,2.5600000000017987e+34,1.4891686557581016,0.0
1.0000000000023026,2.560000000001796e+34,1.4891686557581016,
1.0000000000023026,2.5600000000017936e+34,1.4891686557581016,
1.0000000000023026,2.559999999974144e+34,1.4891686557578225,
1.0000000000023026,2.5599999999464944e+34,1.4891686557575434,
1.0000000000023026,2.5599999996699976e+34,1.4891686557547512,
1.0000000000023026,2.5599999993935007e+34,1.489168655751959,
1.0000000000023026,2.5599999991170043e+34,1.489168655749167,
1.0000000000023026,2.5599999963520375e+34,1.4891686557212462,
1.0000000000023026,2.559999993587071e+34,1.4891686556933255,
1.0000000000023026,2.5599999908221044e+34,1.4891686556654047,
1.0000000000023026,2.5599999631724425e+34,1.4891686553861971,
1.0000000000023026,2.5599999355227815e+34,1.4891686551069896,
1.0000000000023026,2.559999907873122e+34,1.489168654827782,
1.0000000000023037,2.559999631376575e+34,1.4891686520357066,2.055845563320832e-08
1.0000000000023048,2.559999354880118e+34,1.489168649243632,2.0558460143467892e-08
1.000000000002306,2.559999078383752e+34,1.4891686464515579,2.043305744040896e-08
1.0000000000023164,2.5599963134250647e+34,1.4891686185308504,1.9324999122529955e-08
1.0000000000023268,2.559993548475425e+34,1.489168590610204,1.9325041488749958e-08
1.0000000000023372,2.559990783534834e+34,1.4891685626896187,1.9328807281354608e-08
1.0000000000024418,2.55996313462653e+34,1.4891682834871336,1.9366625604351774e-08
1.0000000000025464,2.5599354866229506e+34,1.4891680042907693,1.9367050164679223e-08
1.000000000002651,2.559907839524056e+34,1.4891677251005255,1.936747473156402e-08
1.0000000000027556,2.5598801933298058e+34,1.4891674459164017,1.936901922050898e-08
1.000000000003802,2.559603781134014e+34,1.4891646544117438,1.9384484164685925e-08
1.0000000000048486,2.559327459358964e+34,1.4891618635189272,1.9388733656108353e-08
1.000000000005895,2.5590512279649286e+34,1.4891590732377815,1.9392983825604938e-08
1.0000000000069416,2.558775086912204e+34,1.489156283568136,1.939723467330373e-08
1.000000000007988,2.5584990361611076e+34,1.4891534945098202,1.940163376666431e-08
1.000000000018454,2.5557434865260196e+34,1.4891256375123494,1.9445669479103786e-08
1.0000000000289198,2.5529969235725666e+34,1.489097841460857,1.9488293664007937e-08
1.0000000000393856,2.5502593079924763e+34,1.48907010618599,1.9530985965034745e-08
1.0000000000498515,2.5475306007016486e+34,1.4890424315190556,1.9573746513810992e-08
1.0000000000603173,2.544810762838576e+34,1.4890148172920175,1.9616380418850663e-08
1.0000000001649747,2.518091808879968e+34,1.4887419627065586,2.004647193134194e-08
1.000000000269632,2.4922186443508963e+34,1.4884749720168986,2.0485520115800916e-08
1.0000000003742895,2.4671558435744403e+34,1.4882136874617142,2.093168517407206e-08
1.0000000004789469,2.4428698905524553e+34,1.487957957115091,2.13851030219764e-08
1.0000000005836043,2.4193290509747946e+34,1.4877076345732234,2.1845910505762566e-08
1.0000000006882617,2.396503255202062e+34,1.487462578671053,2.2308867656291178e-08
1.0000000010766925,2.3175797848299724e+34,1.4865968996949046,2.4093661715602324e-08
1.0000000014651234,2.2468379865154077e+34,1.4857955301597718,2.601204985007135e-08
1.0000000018535542,2.18320184690269e+34,1.485052795976597,2.805087656479174e-08
1.000000002241985,2.1257706848212e+34,1.4843636567991827,3.021792670828769e-08
1.0000000026304159,2.073784634698303e+34,1.483723608064996,3.2521236315734145e-08
1.0000000030188467,2.0265984691586439e+34,1.483128608337176,3.496913508922794e-08
1.0000000034072776,1.9836607188405646e+34,1.4825750150903108,3.7541569552321165e-08
1.0000000041101593,1.9152739063744705e+34,1.4816680756385965,4.2602947957888054e-08
1.000000004813041,1.8569776852998592e+34,1.4808690114391438,4.830161277851883e-08
1.0000000055159228,1.8069727280234301e+34,1.4801633477302365,5.4636078942937557e-08
1.0000000062188046,1.763836207856695e+34,1.4795387405600322,6.166000138338858e-08
1.0000000069216863,1.7264299450944877e+34,1.4789846130053586,6.942592638308383e-08
1.000000007624568,1.6938335159604758e+34,1.4784918580976278,7.798330381380716e-08
1.0000000083274498,1.66529573355916e+34,1.4780526085734846,8.727438314943217e-08
1.0000000093702648,1.6291388527442584e+34,1.4774851491001284,1.0263020870128937e-07
1.0000000104130797,1.5989691474238726e+34,1.4770019312145501,1.2015410922428268e-07
1.0000000114558947,1.5735522599438324e+34,1.4765877079945238,1.3969829080042488e-07
1.0000000124987096,1.551931179665855e+34,1.4762300446294867,1.6120198263538843e-07
1.0000000135415246,1.533357332593354e+34,1.4759187879548177,1.8451064728608595e-07
1.0000000145843395,1.5172400507796723e+34,1.4756456272085343,2.0936962117729604e-07
1.0000000156271545,1.5031106384389388e+34,1.4754037598623044,2.350617150642507e-07
1.0000000171471173,1.4853218508586798e+34,1.4750959975950586,2.736852518466562e-07
1.00000001866708,1.4700875591613355e+34,1.4748294861861977,3.131000821509283e-07
1.000000020187043,1.456757750379031e+34,1.474594016776036,3.5117814205982306e-07
1.0000000217070057,1.4448553837532677e+34,1.4743819348814602,3.8664447962096443e-07
1.0000000232269686,1.4340298985696561e+34,1.474187518703625,4.18593140888675e-07
1.0000000247469314,1.4240212669602906e+34,1.4740064623275129,4.462175324330696e-07
1.0000000267028233,1.4120390465003275e+34,1.4737880225272662,4.7580996803951114e-07
1.0000000286587152,1.4007980597338183e+34,1.4735814038821722,4.995715964929792e-07
1.000000030614607,1.3900979868609637e+34,1.473383181566106,5.179728021802113e-07
1.000000032570499,1.3797991036717725e+34,1.4731909450695837,5.319950779905071e-07
1.0000000345263909,1.369804664012277e+34,1.4730030144298678,5.425491457900047e-07
1.0000000369167883,1.357908535793638e+34,1.4727775297562158,5.521786485869102e-07
1.0000000393071857,1.3462891532776847e+34,1.4725553755052954,5.593408874479633e-07
1.0000000416975832,1.3348931984152188e+34,1.4723356227510742,5.647295536306294e-07
1.0000000440879806,1.323686649799131e+34,1.472117685189929,5.689688943702238e-07
1.000000046478378,1.3126476033790216e+34,1.4719011936304824,5.724407478037576e-07
1.0000000494303398,1.2992246159271536e+34,1.471635483308958,5.760684924340759e-07
1.0000000523823016,1.2860157481694474e+34,1.471371317998433,5.792573020457181e-07
1.0000000553342634,1.273008730178466e+34,1.471108524640583,5.821864953335513e-07
1.0000000582862252,1.2601956334391045e+34,1.4708470106519398,5.849634845602588e-07
1.0000000614021851,1.246873880042317e+34,1.4705722804248953,5.877979290516502e-07
1.000000064518145,1.2337553895201035e+34,1.470298858463672,5.90577941764272e-07
1.000000067634105,1.2208349915468404e+34,1.4700267085396561,5.933188886942696e-07
1.0000000706549117,1.2084940457266417e+34,1.4697640610927045,5.959583551830318e-07
1.0000000736757184,1.1963314588617973e+34,1.4695025720879522,5.985908152394877e-07
1.0000000766965251,1.1843438080815345e+34,1.469242229668472,6.012156716618646e-07
1.0000000812543266,1.1665804187230691e+34,1.4688515661904573,6.051750661450868e-07
1.000000085812128,1.1491969170746414e+34,1.4684634551790305,6.091411898926562e-07
1.0000000903699295,1.1321827315960374e+34,1.4680778623086972,6.131026597439484e-07
1.000000096284758,1.1106367126867896e+34,1.4675811631458833,6.182520053989463e-07
1.0000001021995863,1.0896748142950474e+34,1.4670885943224505,6.234155547953822e-07
1.0000001081144148,1.069276609317839e+34,1.4666000889463875,6.285821864792442e-07
1.0000001137706283,1.0502795601544002e+34,1.4661366845076673,6.335275223162105e-07
1.0000001194268417,1.0317638878825608e+34,1.4656768850130135,6.384815158185105e-07
1.0000001250830552,1.0137141549613967e+34,1.46522064373591,6.434442084260898e-07
1.0000001312627074,9.94509019282893e+33,1.4647261896287294,6.488751383914795e-07
1.0000001374423595,9.758234637318339e+33,1.4642358614405875,6.543129310053229e-07
1.0000001436220116,9.576393122149034e+33,1.463749591554806,6.597550586772158e-07
1.0000001493784614,9.411363531429985e+33,1.4633002191034274,6.648300952913535e-07
1.0000001551349111,9.250401071606934e+33,1.4628542651618914,6.699138806881034e-07
1.000000160891361,9.093378972640973e+33,1.4624116870871828,6.750064347528057e-07
1.0000001672792984,8.923593985248073e+33,1.4619244530051256,6.806664311761293e-07
1.000000173667236,8.758347543033281e+33,1.4614412583128724,6.863328323697371e-07
1.0000001800551734,8.597482195510881e+33,1.4609620361435576,6.920031071908862e-07
1.0000001858328913,8.455632470419399e+33,1.4605319631754035,6.9713665776429e-07
1.0000001916106092,8.317138434018959e+33,1.460105046153273,7.022793298830284e-07
1.000000197388327,8.181900094305394e+33,1.4596812487770972,7.074321058402368e-07
1.0000002038461848,8.034474321804336e+33,1.4592112042964527,7.131997905518777e-07
1.0000002103040426,7.890861689055154e+33,1.4587449496681828,7.189724381516498e-07
1.0000002167619004,7.750933672579975e+33,1.4582824227563866,7.247477970124335e-07
1.0000002226207685,7.627070097627593e+33,1.4578659751379037,7.29992582900439e-07
1.0000002284796365,7.506051765117427e+33,1.4574525096767257,7.352469889104018e-07
